Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum (Avg),Distance to optimum (Best)
els19,0.030151494344075522,50081.433333333334,341.43333333333334,20990883.8,21.951054544626402,4.208999155732202
chr20b,0.02580141226450602,50097.066666666666,259.3,2786.4,21.253263707571804,8.44212358572672
chr22a,0.03111879825592041,50105.53333333333,246.03333333333333,6481.466666666666,5.286982889322064,1.299545159194282
nug25,0.03359214464823405,50122.63333333333,237.2,3752.2,0.21901709401708916,0.0
tai30b,0.04211392402648926,50131.666666666664,294.6333333333333,662138335.4333333,3.927256374501634,0.29841844791257394
kra30b,0.04036555290222168,50137.9,196.9,92471.33333333333,1.150003646175157,0.1312623058411726
esc32b,0.036707035700480145,50181.86666666667,171.9,187.73333333333332,11.746031746031738,0.0
tai50b,0.06308957735697428,50201.0,187.93333333333334,474784262.96666664,3.479075277689437,1.1919981512113784
sko56,0.06882503827412924,50338.166666666664,145.2,35377.333333333336,2.667982277942236,2.124325265540658
tai60a,0.07381547292073568,50313.333333333336,147.16666666666666,7573616.266666667,5.102084449885616,3.923778671050444
sko64,0.08204166889190674,50290.066666666666,139.86666666666667,50050.333333333336,3.2008192777709095,2.136170563734587
sko72,0.0906014362970988,50333.933333333334,134.43333333333334,68586.8,3.5178700796909004,2.783144168075344
lipa90b,0.11372348467508951,50355.0,168.23333333333332,15529325.3,24.329679792731103,23.82408275256254
sko100d,0.13033771514892578,50489.433333333334,124.96666666666667,155949.26666666666,4.260888556096341,3.825480023533187
sko100c,0.11997586091359456,50419.9,123.86666666666666,154117.8,4.230836861397782,3.6601696176164262
sko100e,0.1241620143254598,50486.46666666667,123.46666666666667,155971.93333333332,4.573874175885565,3.9396580623533355
sko100a,0.12705562909444174,50507.63333333333,125.83333333333333,158527.73333333334,4.293189124704502,3.73152984829147
sko100b,0.1287021557490031,50424.76666666667,125.4,160471.93333333332,4.277037710919046,3.8105140035089997
tho150,0.19959999720255533,50540.833333333336,99.23333333333333,8627268.8,6.072133688773139,5.360244266910337
tai256c,0.39786268870035807,50242.36666666667,112.6,45095234.46666667,0.7505490740463169,0.5432972200142389
