Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum (Avg),Distance to optimum (Best)
els19,0.03820774555206299,86435.06666666667,24.0,17947383.6,4.269185480267079,0.9387686239132056
chr20b,0.018648099899291993,31669.733333333334,24.0,2730.4666666666667,18.819263127357125,4.873803307223673
chr22a,0.031162333488464356,56838.4,24.0,6520.733333333334,5.924842971626601,0.8771929824561403
nug25,0.07071318626403808,129006.06666666667,24.0,3773.4,0.7852564102564127,0.053418803418803416
tai30b,0.21281186739603677,340094.23333333334,24.0,649673431.5666667,1.9708022764516016,0.29061234774900796
kra30b,0.12696619828542074,196719.86666666667,24.0,93028.66666666667,1.7596441333041692,0.6234959527455699
esc32b,0.07763798236846924,117340.66666666667,24.0,184.4,9.761904761904765,0.0
tai50b,1.1707917213439942,1250025.0,24.0,474599366.2,3.438777087692683,1.8492062132299694
sko56,1.3533814112345377,1250025.0,24.0,35853.13333333333,4.048793700543651,3.006558709153172
tai60a,0.7890088637669881,671592.5,24.0,7453247.333333333,3.4316768993970967,2.609672379621208
sko64,1.7274561802546182,1250025.0,24.0,51165.73333333333,5.5007079329731745,4.725968081157986
sko72,1.7072037696838378,1250025.0,24.0,70365.06666666667,6.20180310713998,5.481767688964019
lipa90b,2.22484233379364,1247371.2,24.0,15215286.7,21.815448309631336,21.57984654024626
sko100d,2.407514762878418,1250025.0,24.0,161866.33333333334,8.216781658376574,6.85805209391881
sko100c,2.5502906322479246,1250025.0,24.0,160837.46666666667,8.775389665138219,7.976356332255752
sko100e,2.5711000124613443,1250025.0,24.0,162183.33333333334,8.73840652586882,7.90077103586993
sko100a,2.553283929824829,1250025.0,24.0,164449.6,8.18910277496349,7.57884764674149
sko100b,2.453048555056254,1250025.0,24.0,166600.66666666666,8.25957935321766,7.632724673468061
tho150,4.277630623181661,1250025.0,24.0,9155039.8,12.561069801330277,11.975142492719526
tai256c,8.259801157315572,1250025.0,24.0,49472887.46666667,10.530982608140935,8.749172853351977
