Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum (Avg),Distance to optimum (Best)
els19,0.0037165244420369467,1.0,0.0,47190811.666666664,174.1651710523431,92.40572633406745
chr20b,0.0036975781122843424,1.0,0.0,6957.6,202.76762402088775,130.28720626631855
chr22a,0.003990777333577474,1.0,0.0,12101.533333333333,96.5811132770197,45.02923976608187
nug25,0.0047435681025187176,1.0,0.0,4798.4,28.162393162393155,21.581196581196583
tai30b,0.0047409375508626304,1.0,0.0,1049982439.6333333,64.80210909565277,30.89620714676989
kra30b,0.00467844804128011,1.0,0.0,130536.33333333333,42.78750091154379,34.10632246773135
esc32b,0.005511760711669922,1.0,0.0,362.1333333333333,115.55555555555554,83.33333333333333
tai50b,0.022674838701883953,1.0,0.0,683371103.5333333,48.94050915518273,34.48336730903577
sko56,0.03278080622355143,1.0,0.0,41518.066666666666,20.488904366668596,15.218526902315864
tai60a,0.04273302555084228,1.0,0.0,8253104.866666666,14.531617938960354,12.688631996671646
sko64,0.05658469200134277,1.0,0.0,57586.13333333333,18.739191994171577,15.831580683739535
sko72,0.08126760323842366,1.0,0.0,77787.33333333333,17.404209933188433,14.471142236174837
lipa90b,0.21289074420928955,1.0,0.0,16080164.233333332,28.73976373879299,27.717115832819673
sko100d,0.3198553005854289,1.0,0.0,172061.33333333334,15.03271469576225,13.685350591003905
sko100c,0.32481775283813474,1.0,0.0,171568.2,16.032652067468323,14.356629830517646
sko100e,0.3024535020192464,1.0,0.0,173061.4,16.031780087160573,13.637277908146162
sko100a,0.304771629969279,1.0,0.0,175295.73333333334,15.324622921628228,13.572189839607374
sko100b,0.3225904146830241,1.0,0.0,178039.86666666667,15.692940845192455,13.179543830008448
tho150,1.6624705791473389,1.0,0.0,9606997.4,18.11788135782855,15.88811957806565
tai256c,16.20131963888804,1.0,0.0,53203388.733333334,18.86556730169456,15.146199580359779
