Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum (Avg),Distance to optimum (Best)
els19,0.016210460662841798,27609.0,24.0,19448211.266666666,12.988566635611797,4.208999155732202
chr20b,0.01190651257832845,17014.733333333334,24.0,2721.6666666666665,18.4363214389324,10.095735422106179
chr22a,0.01832726001739502,31526.3,24.0,6511.333333333333,5.772146415421264,1.8843404808317088
nug25,0.0337108850479126,51014.46666666667,24.0,3781.3333333333335,0.9971509971510012,0.0
tai30b,0.07743885517120361,124347.26666666666,24.0,682093004.4666667,7.059281653083881,1.399940108028459
kra30b,0.04987944761912028,75389.1,24.0,93165.0,1.9087726974403851,0.07656967840735068
esc32b,0.04191741148630778,56785.36666666667,24.0,185.2,10.238095238095232,0.0
tai50b,0.7906379143397013,765500.4666666667,24.0,467947908.8,1.9890941165254925,0.25363392013718483
sko56,1.042169706026713,926836.7333333333,24.0,34916.333333333336,1.3301216940429965,0.7487375935921992
tai60a,0.5354743798573812,429572.0333333333,24.0,7431550.733333333,3.130584553919843,2.6266583143236115
sko64,1.4363483905792236,1156643.5666666667,24.0,49261.666666666664,1.5746353801531285,0.9072539073776238
sko72,1.6401565392812094,1242782.3666666667,24.0,67831.33333333333,2.37764630121548,0.9327457135957499
lipa90b,2.0498715241750083,1144753.1333333333,24.0,15118136.066666666,21.037648443851314,17.279550017489374
sko100d,2.6479559501012164,1250025.0,24.0,158560.0,6.006311172915441,5.145210461571375
sko100c,2.657207997639974,1250025.0,24.0,157732.2,6.675278300036529,5.548416766985432
sko100e,2.41952166557312,1250025.0,24.0,158625.06666666668,6.35270979997766,5.28059001005699
sko100a,2.492335001627604,1250025.0,24.0,161463.33333333334,6.224479502462693,5.3841396823726
sko100b,2.603829534848531,1250025.0,24.0,163110.66666666666,5.991725691511246,5.1218402755214765
tho150,3.863387711842855,1250025.0,24.0,8981504.866666667,10.427460535764599,9.708414613424795
tai256c,8.707569511731466,1250025.0,24.0,45510914.86666667,1.6792509432044822,0.46371151430583335
