Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum (Avg),Distance to optimum (Best)
els19,0.04546329180399577,34250.76666666667,24.0,17944490.6,4.252377974486993,4.208999155732202
chr20b,0.039894358317057295,27579.466666666667,24.0,2766.733333333333,20.397447055410492,12.27154046997389
chr22a,0.06238030592600505,37200.066666666666,24.0,6557.333333333333,6.519384881957976,3.183885640025991
nug25,0.08527309894561767,56061.833333333336,24.0,3780.4666666666667,0.9740028490028498,0.053418803418803416
tai30b,0.14728257656097413,94818.73333333334,24.0,644683677.1333333,1.1876253170636974,0.19253775718311306
kra30b,0.14174843629201253,81441.6,24.0,93238.0,1.988623933493765,0.5250492233646904
esc32b,0.14326889514923097,75146.96666666666,24.0,185.86666666666667,10.63492063492064,0.0
tai50b,0.8610855340957642,334516.56666666665,24.0,466403156.6,1.652415878307648,0.3597850011031632
sko56,1.1823509693145753,409986.06666666665,24.0,34924.26666666667,1.3531448913653434,0.7197167566312612
tai60a,1.5200936953226725,410619.8333333333,24.0,7454848.133333334,3.453891837527505,2.9483363914491916
sko64,2.0132562081019083,571767.4666666667,24.0,49114.73333333333,1.2716675601742957,0.6886881933275599
sko72,3.0896162033081054,771118.6,24.0,67076.26666666666,1.2380262416485492,0.5614585848828786
lipa90b,6.480333097775778,1029573.3333333334,24.0,15135018.366666667,21.172810204753116,20.758138163416326
sko100d,10.100354623794555,1342537.7,24.0,151378.53333333333,1.205095291579749,0.7768625982777986
sko100c,10.210349718729654,1333114.7,24.0,149632.2,1.1971973867525203,0.6397857461687249
sko100e,10.160101532936096,1338037.6,24.0,151100.53333333333,1.3077662308637785,1.0526315789473684
sko100a,10.013601620992025,1332662.4,24.0,153644.6,1.0806436757411124,0.730253549295404
sko100b,9.644928820927937,1343974.2,24.0,155697.06666666668,1.1742586696125026,0.8733510949379427
tho150,45.11632175445557,1260600.8,24.0,8379158.8,3.021625155931135,2.3956284937734513
tai256c,407.72842995325726,1280695.7666666666,24.0,45191791.46666667,0.9662741031318962,0.441834493636115
